"id","age","gender","education","country","ethnicity","personality_neuroticism","personality_extraversion","personality_openness","personality_agreeableness","personality_conscientiousness","personality_impulsiveness","personality_sensation","consumption_alcohol","consumption_amphetamines","consumption_caffeine","consumption_cannabis","consumption_chocolate","consumption_mushrooms","consumption_nicotine","consumption_cocaine_last_month"
"train_0361","18-24","male","Some college or university, no certificate or degree","UK","Mixed-Black/Asian",75.2,64.7,76.3,45.6,37,63,82.6,"used in last week","never used","used in last day","used in last decade","used in last week","never used","never used","No"
"train_0362","45-54","female","University degree","USA","Mixed-Black/Asian",23.7,50.1,55.3,39,47.9,56.5,62,"used in last week","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0363","35-44","female","University degree","USA","Mixed-Black/Asian",54.7,69.6,45.7,28.6,38.7,80.9,82.6,"used in last day","used over a decade ago","used in last month","used in last decade","used in last week","used over a decade ago","used in last week","No"
"train_0364","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",47.8,74.2,52.7,32.5,79.5,42.8,71.1,"used in last week","never used","used in last week","used in last day","used in last day","never used","used in last day","No"
"train_0365","35-44","female","Masters degree","USA","Mixed-Black/Asian",28.4,62.3,73.1,76.2,49.9,50.4,46.6,"used in last week","never used","used in last day","never used","used in last week","never used","never used","No"
"train_0366","45-54","male","University degree","USA","Mixed-Black/Asian",54.7,59.7,37.2,61,42.4,21.5,0,"used in last week","never used","used in last day","never used","used in last week","never used","used in last decade","No"
"train_0367","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",0,57.3,52.7,68.6,79.5,42.8,71.1,"used in last week","never used","used in last day","used in last day","used in last day","used in last year","used in last week","No"
"train_0368","35-44","female","Left school before 16 years","USA","Mixed-Black/Asian",47.8,43.3,37.2,43.5,58.4,21.5,30.8,"used in last day","used in last decade","used in last day","used in last decade","used in last day","used in last decade","used in last day","Yes"
"train_0369","45-54","male","Masters degree","USA","Mixed-Black/Asian",35.8,76.6,62.5,56.3,79.5,42.8,38.8,"used in last day","never used","used in last day","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0370","25-34","female","University degree","USA","Mixed-Black/Asian",35.8,76.6,52.7,51.9,83.7,56.5,82.6,"used in last week","used in last decade","used in last day","used in last decade","used in last week","never used","used in last decade","No"
"train_0371","18-24","female","Left school at 18 years","USA","Mixed-Black/Asian",59.2,29,45.7,70.9,24.3,70.5,62,"used in last week","never used","used in last day","used in last week","used in last day","never used","used in last day","No"
"train_0372","25-34","male","Left school at 17 years","Australia","Mixed-Black/Asian",85.3,11.2,43.6,18,4.4,80.9,82.6,"used in last week","used in last month","used in last day","used in last day","used in last day","used over a decade ago","used in last day","No"
"train_0373","35-44","male","University degree","USA","Mixed-Black/Asian",63.7,50.1,70.2,76.2,44.1,42.8,46.6,"used in last month","never used","used in last month","never used","used in last day","never used","used over a decade ago","No"
"train_0374","45-54","male","Masters degree","USA","Mixed-Black/Asian",62.3,41.2,43.6,76.2,51.8,33.8,22.4,"used in last day","never used","used in last day","used over a decade ago","used in last day","never used","never used","No"
"train_0375","18-24","female","Professional certificate/ diploma","New Zealand","Mixed-White/Black",33.7,43.3,60.2,58.5,51.8,21.5,46.6,"used in last month","never used","used in last day","used in last day","used in last week","never used","used in last day","No"
"train_0376","45-54","female","Professional certificate/ diploma","Australia","Asian",35.8,35.5,37.2,39,60.9,21.5,38.8,"used in last decade","used in last decade","used in last day","used in last day","used in last day","never used","used in last day","No"
"train_0377","18-24","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",47.8,54.9,57.8,56.3,60.9,42.8,54,"used in last day","never used","used in last week","used in last year","used in last day","never used","used in last day","No"
"train_0378","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",76.9,54.9,79.8,47.8,24.3,100,62,"used in last day","used in last year","used in last day","used in last week","used in last week","used in last year","used in last year","No"
"train_0379","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",52,50.1,76.3,51.9,46,50.4,54,"used in last week","used in last week","used in last day","used in last day","used in last week","used in last decade","used in last year","No"
"train_0380","25-34","female","Professional certificate/ diploma","New Zealand","Mixed-Black/Asian",59.2,41.2,55.3,47.8,38.7,56.5,82.6,"used in last decade","used in last year","used in last day","used in last day","used in last day","never used","used in last day","No"
"train_0381","25-34","female","Professional certificate/ diploma","New Zealand","Mixed-Black/Asian",41.3,67,52.7,56.3,47.9,63,71.1,"used in last week","used in last decade","used in last day","used in last day","used in last day","used in last decade","used in last day","Yes"
"train_0382","55-64","male","Masters degree","Australia","Mixed-Black/Asian",14,67,83.5,68.6,35.4,33.8,38.8,"used in last week","used in last year","used in last day","used in last day","used in last day","used over a decade ago","never used","No"
"train_0383","45-54","female","Left school at 16 years","USA","Mixed-Black/Asian",56.1,37.7,32.4,28.6,40.6,21.5,54,"used in last day","used over a decade ago","used in last day","used in last decade","used in last day","used over a decade ago","used in last decade","No"
"train_0384","35-44","female","University degree","USA","Mixed-Black/Asian",28.4,62.3,70.2,41.2,42.4,56.5,71.1,"used in last week","used in last decade","used in last day","used in last decade","used in last day","used in last decade","used in last decade","No"
"train_0385","45-54","female","Masters degree","USA","Mixed-Black/Asian",37.7,62.3,52.7,49.8,56,21.5,13.2,"used in last decade","used in last decade","used in last day","used over a decade ago","used in last day","used over a decade ago","never used","No"
"train_0386","45-54","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",31.7,52.6,43.6,54.2,58.4,21.5,30.8,"used in last week","never used","used in last day","used over a decade ago","used in last month","never used","used over a decade ago","No"
"train_0387","45-54","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",69.7,33.3,45.7,47.8,60.9,33.8,46.6,"used in last day","used over a decade ago","used in last day","used in last day","used in last day","used over a decade ago","used in last day","No"
"train_0388","35-44","male","Doctorate degree","New Zealand","Mixed-Black/Asian",46.2,43.3,73.1,51.9,28.1,56.5,62,"used in last year","never used","used in last month","used in last year","used in last day","used in last decade","used in last decade","No"
"train_0389","45-54","female","Left school at 16 years","USA","Mixed-Black/Asian",47.8,57.3,39.3,41.2,56,42.8,46.6,"used in last week","never used","used in last day","never used","used in last week","never used","used in last decade","No"
"train_0390","45-54","female","Left school at 16 years","USA","Mixed-Black/Asian",30.1,57.3,57.8,36.8,56,56.5,62,"used in last day","used in last decade","used in last day","used in last day","used in last month","never used","used in last decade","No"
"train_0391","18-24","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",73.5,23.1,55.3,39,15,33.8,0,"used in last month","never used","used in last day","used in last decade","used in last day","never used","used in last day","No"
"train_0392","25-34","male","University degree","USA","Mixed-Black/Asian",54.7,82.5,92.7,73.3,40.6,70.5,82.6,"used in last month","used in last year","used in last day","used in last week","used in last week","used in last year","used in last day","Yes"
"train_0393","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",56.1,47.6,83.5,54.2,28.1,70.5,71.1,"used in last day","never used","used in last month","used in last year","used in last day","never used","used in last day","No"
"train_0394","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",62.3,29,41.4,30.6,38.7,42.8,71.1,"used in last month","never used","used in last day","used in last week","used in last month","never used","used in last month","No"
"train_0395","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",42.8,67,64.7,58.5,49.9,42.8,38.8,"never used","used in last decade","used in last day","used in last day","used in last day","used in last week","never used","No"
"train_0396","45-54","female","University degree","USA","Mixed-White/Black",42.8,41.2,52.7,47.8,47.9,21.5,22.4,"used in last day","never used","used in last day","used over a decade ago","used in last week","never used","used in last day","No"
"train_0397","35-44","female","Left school at 16 years","New Zealand","Mixed-Black/Asian",46.2,41.2,34.9,36.8,38.7,70.5,38.8,"used in last month","used over a decade ago","used in last day","used in last day","used in last day","used over a decade ago","used in last day","No"
"train_0398","45-54","male","Masters degree","New Zealand","Mixed-Black/Asian",42.8,50.1,79.8,58.5,63.6,21.5,38.8,"used in last week","used over a decade ago","used in last decade","used over a decade ago","used in last day","used over a decade ago","used over a decade ago","No"
"train_0399","25-34","male","Professional certificate/ diploma","UK","Mixed-Black/Asian",73.5,14.5,34.9,79.4,46,33.8,13.2,"used in last day","used in last decade","used in last week","never used","used in last week","never used","never used","No"
"train_0400","35-44","female","University degree","USA","Mixed-Black/Asian",39.7,31.2,52.7,56.3,49.9,50.4,30.8,"used in last day","used over a decade ago","used in last day","used in last year","used in last day","used over a decade ago","used in last day","No"
"train_0401","35-44","male","Masters degree","New Zealand","Mixed-Black/Asian",39.7,52.6,50.1,45.6,60.9,50.4,62,"used in last week","never used","used in last day","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0402","25-34","male","Masters degree","Australia","Mixed-Black/Asian",44.5,47.6,57.8,58.5,63.6,50.4,30.8,"used in last day","used in last day","used in last day","never used","used in last day","never used","never used","No"
"train_0403","18-24","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",35.8,89.3,57.8,32.5,31.8,80.9,71.1,"used in last week","used in last decade","used in last day","used in last month","used in last week","used in last decade","used in last day","Yes"
"train_0404","18-24","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",85.3,35.5,64.7,32.5,42.4,33.8,38.8,"used in last day","never used","used in last day","used in last month","used in last week","never used","used in last month","No"
"train_0405","25-34","female","Some college or university, no certificate or degree","Other","Mixed-Black/Asian",37.7,57.3,64.7,56.3,18.5,80.9,100,"used in last week","used in last year","used in last week","used in last month","used in last day","never used","used in last decade","No"
"train_0406","25-34","male","Doctorate degree","USA","Mixed-Black/Asian",69.7,33.3,32.4,73.3,53.7,21.5,13.2,"used in last week","never used","used in last day","used in last year","used in last week","never used","used in last day","No"
"train_0407","18-24","female","Professional certificate/ diploma","Australia","Mixed-White/Black",53.4,50.1,64.7,18,71.1,63,100,"used in last day","never used","used in last day","used in last day","used in last week","used in last week","never used","No"
"train_0408","25-34","female","University degree","Australia","Mixed-Black/Asian",60.8,43.3,57.8,22.2,37,56.5,71.1,"used in last year","used in last day","used in last day","used in last year","used in last month","used in last week","used in last day","Yes"
"train_0409","25-34","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",75.2,45.4,70.2,70.9,24.3,80.9,54,"used in last day","used in last year","used in last year","used in last week","used in last month","used in last year","used in last day","No"
"train_0410","25-34","male","University degree","USA","Mixed-Black/Asian",52,43.3,52.7,63.6,30,33.8,54,"used in last week","never used","used in last week","used over a decade ago","used in last day","never used","never used","No"
"train_0411","18-24","male","University degree","USA","Mixed-Black/Asian",69.7,43.3,32.4,36.8,60.9,21.5,0,"used in last week","never used","used in last month","used in last decade","used in last day","never used","never used","No"
"train_0412","18-24","male","University degree","USA","Mixed-Black/Asian",66.6,39.4,67.3,24.4,44.1,50.4,62,"used in last day","never used","used in last day","used in last year","used in last day","never used","used in last month","No"
"train_0413","25-34","female","Left school at 18 years","New Zealand","Mixed-Black/Asian",54.7,74.2,57.8,28.6,49.9,42.8,71.1,"never used","used in last month","used in last day","used in last day","used in last week","used in last decade","never used","No"
"train_0414","45-54","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",49.2,35.5,32.4,41.2,56,42.8,54,"used in last day","never used","used in last day","used over a decade ago","used in last month","used over a decade ago","used over a decade ago","No"
"train_0415","25-34","male","University degree","USA","Mixed-Black/Asian",52,69.6,52.7,51.9,60.9,56.5,71.1,"used in last week","used over a decade ago","used in last day","never used","used in last day","never used","never used","No"
"train_0416","45-54","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",53.4,62.3,60.2,70.9,47.9,50.4,46.6,"used in last day","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0417","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",33.7,57.3,70.2,30.6,56,42.8,82.6,"used in last day","used in last month","used in last month","used in last day","used in last day","used in last month","used in last day","No"
"train_0418","35-44","female","Professional certificate/ diploma","New Zealand","Mixed-Black/Asian",33.7,37.7,64.7,43.5,53.7,70.5,46.6,"used in last year","used in last decade","used in last day","used in last decade","used in last week","used in last decade","used in last day","No"
"train_0419","25-34","female","Masters degree","USA","Mixed-Black/Asian",64.9,69.6,83.5,13.4,44.1,56.5,54,"used in last month","used in last year","used in last day","used in last month","used in last day","used in last year","used in last week","No"
"train_0420","18-24","female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",59.2,47.6,57.8,49.8,37,56.5,62,"used in last month","never used","used in last week","used in last day","used in last day","used in last year","used in last day","No"
"train_0421","25-34","male","University degree","USA","Mixed-Black/Asian",31.7,41.2,50.1,56.3,66.4,33.8,38.8,"used in last month","never used","used in last day","used over a decade ago","used in last month","never used","used in last decade","No"
"train_0422","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",62.3,57.3,41.4,28.6,42.4,80.9,71.1,"used in last year","never used","used in last week","used in last day","used in last week","used in last decade","used in last day","No"
"train_0423","25-34","female","University degree","USA","Mixed-Black/Asian",42.8,29,23.4,30.6,56,21.5,22.4,"used in last week","never used","used in last week","never used","used in last week","never used","used in last month","No"
"train_0424","35-44","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",46.2,41.2,55.3,66.1,53.7,21.5,30.8,"used in last day","used over a decade ago","used in last month","used over a decade ago","used in last week","never used","used in last day","No"
"train_0425","25-34","male","University degree","USA","Mixed-Black/Asian",31.7,62.3,32.4,34.5,47.9,42.8,62,"used in last year","used in last decade","used in last day","used over a decade ago","used in last month","never used","used in last decade","No"
"train_0426","25-34","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",60.8,29,41.4,49.8,38.7,42.8,71.1,"used in last day","used in last decade","used in last day","used in last year","used in last week","never used","used in last day","No"
"train_0427","25-34","female","University degree","Australia","Mixed-Black/Asian",10.5,43.3,34.9,28.6,63.6,42.8,54,"used in last week","used in last day","used in last day","used in last decade","used in last month","used in last decade","never used","No"
"train_0428","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",83,35.5,45.7,45.6,26.3,70.5,54,"used in last week","used in last month","used in last day","used in last day","used in last day","never used","used in last day","Yes"
"train_0429","45-54","male","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",46.2,52.6,55.3,56.3,60.9,21.5,22.4,"used in last month","used over a decade ago","used in last day","used in last day","used in last day","never used","used in last day","No"
"train_0430","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",66.6,62.3,70.2,34.5,42.4,63,82.6,"used in last day","never used","used in last day","used in last year","used in last week","never used","used in last day","No"
"train_0431","25-34","male","Masters degree","USA","Asian",35.8,59.7,47.9,68.6,68.9,33.8,62,"used in last week","never used","used in last month","used in last month","used in last day","never used","used in last day","No"
"train_0432","35-44","male","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",66.6,41.2,67.3,68.6,40.6,63,46.6,"used in last month","used in last decade","used in last day","used in last decade","used in last week","used over a decade ago","used in last day","No"
"train_0433","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",31.7,85.5,14.2,28.6,30,80.9,82.6,"used in last day","used in last day","used in last day","used in last month","used in last week","used in last year","never used","No"
"train_0434","18-24","female","Left school at 16 years","UK","Mixed-White/Asian",59.2,62.3,62.5,34.5,33.6,56.5,82.6,"used in last week","used in last month","used in last week","used in last week","used in last week","used in last decade","used in last day","Yes"
"train_0435","45-54","male","University degree","Australia","Mixed-Black/Asian",33.7,64.7,45.7,61,63.6,33.8,30.8,"used in last year","used over a decade ago","used in last day","used in last day","used in last month","never used","used over a decade ago","No"
"train_0436","55-64","female","Doctorate degree","USA","Mixed-Black/Asian",33.7,50.1,64.7,32.5,66.4,42.8,54,"used in last day","never used","used in last day","used in last decade","used in last month","never used","used in last day","No"
"train_0437","25-34","male","Professional certificate/ diploma","USA","Mixed-Black/Asian",44.5,50.1,34.9,54.2,49.9,50.4,38.8,"used in last day","used in last decade","used in last day","used in last decade","used in last week","never used","used in last day","No"
"train_0438","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",35.8,59.7,57.8,58.5,38.7,80.9,62,"used in last day","never used","used in last week","used in last month","used in last day","used in last year","used in last month","No"
"train_0439","35-44","female","Masters degree","USA","Mixed-Black/Asian",47.8,45.4,41.4,39,51.8,70.5,54,"used in last week","never used","used in last day","used in last decade","used in last day","used in last decade","used in last day","No"
"train_0440","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",57.6,41.2,70.2,56.3,35.4,50.4,38.8,"used in last month","never used","used in last day","used in last week","used in last week","used in last month","used in last week","Yes"
"train_0441","25-34","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",57.6,37.7,39.3,32.5,68.9,50.4,22.4,"used in last month","used in last decade","used in last day","used in last decade","used in last day","never used","used in last day","No"
"train_0442","25-34","female","Professional certificate/ diploma","Australia","Mixed-Black/Asian",69.7,41.2,67.3,49.8,37,63,71.1,"used in last day","used in last day","used in last day","used in last day","used in last day","used in last year","used in last day","No"
"train_0443","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",33.7,67,73.1,26.6,40.6,56.5,82.6,"used in last day","used in last year","used in last day","used in last day","used in last day","used in last month","used in last day","No"
"train_0444","18-24","female","Left school at 17 years","Australia","Mixed-White/Black",63.7,33.3,30,36.8,51.8,56.5,71.1,"used in last week","used in last day","used in last day","used in last week","used in last month","used in last year","used in last day","Yes"
"train_0445","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",71.8,47.6,50.1,16,33.6,63,62,"used in last decade","used in last year","used in last day","used in last day","used in last day","used in last year","used in last decade","Yes"
"train_0446","18-24","male","Masters degree","USA","Black",63.7,39.4,43.6,41.2,35.4,33.8,71.1,"used in last year","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0447","35-44","male","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",76.9,35.5,23.4,61,35.4,50.4,0,"used in last month","never used","used in last day","never used","used in last week","never used","used over a decade ago","No"
"train_0448","35-44","female","Professional certificate/ diploma","Australia","Mixed-Black/Asian",78.7,35.5,55.3,28.6,31.8,63,38.8,"used in last year","used in last year","used in last day","used in last year","used in last year","used in last decade","used in last day","No"
"train_0449","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",50.6,69.6,76.3,61,79.5,56.5,82.6,"used in last day","used in last year","used in last day","used in last day","used in last month","never used","used in last day","No"
"train_0450","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",63.7,41.2,67.3,56.3,42.4,56.5,82.6,"used in last week","never used","used in last month","used in last week","used in last month","used in last week","used in last year","No"
"train_0451","25-34","female","University degree","USA","Mixed-Black/Asian",41.3,54.9,43.6,68.6,58.4,56.5,82.6,"used in last week","never used","used in last day","used in last week","used in last week","used in last decade","used in last day","No"
"train_0452","25-34","male","Masters degree","USA","Mixed-Black/Asian",39.7,62.3,73.1,68.6,56,50.4,82.6,"used in last week","never used","used in last day","used in last week","used in last week","used in last year","used in last week","No"
"train_0453","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",80.9,35.5,52.7,32.5,31.8,33.8,22.4,"used in last day","never used","used in last day","used in last day","used in last day","never used","used in last week","Yes"
"train_0454","25-34","male","University degree","USA","Mixed-Black/Asian",33.7,62.3,37.2,43.5,58.4,33.8,22.4,"used in last week","never used","used in last day","never used","used in last day","never used","used in last week","No"
"train_0455","18-24","female","University degree","Australia","Mixed-Black/Asian",59.2,59.7,55.3,34.5,68.9,42.8,62,"used in last day","used in last decade","used in last day","used in last day","used in last day","used in last decade","used in last decade","Yes"
"train_0456","18-24","male","Masters degree","USA","Mixed-Black/Asian",60.8,67,39.3,43.5,31.8,33.8,30.8,"used in last day","never used","used in last day","never used","used in last day","never used","never used","Yes"
"train_0457","25-34","male","Masters degree","USA","Mixed-Black/Asian",66.6,35.5,41.4,68.6,63.6,21.5,13.2,"used over a decade ago","never used","used in last day","never used","used in last week","never used","never used","No"
"train_0458","25-34","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",47.8,33.3,92.7,36.8,40.6,70.5,71.1,"used in last year","used in last week","used in last week","used in last year","used in last month","used in last year","used in last day","No"
"train_0459","25-34","female","University degree","Other","Mixed-Black/Asian",46.2,52.6,64.7,43.5,38.7,63,62,"used in last day","used in last week","used in last day","used in last day","used in last day","used in last month","used in last week","No"
"train_0460","18-24","female","Left school at 18 years","USA","Mixed-Black/Asian",62.3,50.1,87.9,51.9,28.1,70.5,71.1,"used in last day","never used","used in last day","used in last year","used in last day","used in last year","used in last day","No"
"train_0461","25-34","male","University degree","USA","Mixed-Black/Asian",60.8,52.6,55.3,68.6,56,33.8,22.4,"used in last week","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0462","35-44","female","Left school before 16 years","USA","Mixed-Black/Asian",42.8,50.1,43.6,41.2,58.4,42.8,62,"used in last year","used in last year","used in last day","used in last day","used in last week","never used","used in last day","No"
"train_0463","18-24","male","University degree","USA","Mixed-Black/Asian",42.8,52.6,39.3,66.1,71.1,56.5,82.6,"used in last day","never used","used in last week","never used","used in last day","never used","never used","No"
"train_0464","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",62.3,45.4,41.4,56.3,37,42.8,46.6,"used in last year","never used","used in last day","used in last week","used in last month","never used","used in last day","No"
"train_0465","45-54","male","University degree","USA","Mixed-Black/Asian",49.2,45.4,25.8,76.2,73.5,70.5,54,"used in last week","never used","used in last day","used over a decade ago","used in last week","never used","never used","No"
"train_0466","18-24","male","Some college or university, no certificate or degree","Australia","Other",75.2,37.7,62.5,56.3,33.6,63,71.1,"used in last year","used in last year","used in last day","used in last day","used in last day","used in last decade","never used","Yes"
"train_0467","18-24","male","Left school at 18 years","Ireland","Mixed-Black/Asian",63.7,43.3,60.2,56.3,35.4,33.8,62,"never used","never used","used in last day","used in last day","used in last day","never used","used in last year","No"
"train_0468","35-44","female","University degree","USA","Mixed-Black/Asian",37.7,69.6,41.4,45.6,53.7,21.5,46.6,"used in last week","never used","used in last day","never used","used in last month","never used","used in last week","No"
"train_0469","35-44","female","Masters degree","USA","Mixed-Black/Asian",33.7,45.4,55.3,56.3,58.4,21.5,30.8,"used in last day","used over a decade ago","used in last day","used in last decade","used in last day","never used","used in last decade","No"
"train_0470","55-64","female","Masters degree","UK","Mixed-Black/Asian",21,72.2,37.2,58.5,71.1,42.8,22.4,"used in last week","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0471","18-24","female","Professional certificate/ diploma","Australia","Mixed-Black/Asian",62.3,39.4,76.3,79.4,44.1,33.8,100,"used in last week","used in last month","used in last day","used in last week","used in last day","used in last month","used in last week","Yes"
"train_0472","55-64","female","Left school at 16 years","USA","Mixed-Black/Asian",37.7,52.6,45.7,45.6,53.7,33.8,62,"used in last week","never used","used in last week","used over a decade ago","used in last week","never used","never used","No"
"train_0473","25-34","male","Masters degree","Australia","Mixed-Black/Asian",66.6,45.4,60.2,61,31.8,70.5,71.1,"used in last year","used in last decade","used in last day","used in last year","used in last day","used in last decade","used in last day","No"
"train_0474","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",23.7,82.5,73.1,70.9,58.4,33.8,100,"used in last day","used in last decade","used in last day","used in last day","used in last week","used in last year","used in last day","No"
"train_0475","25-34","female","Left school at 16 years","USA","Mixed-Black/Asian",47.8,76.6,67.3,68.6,56,56.5,100,"used in last week","used over a decade ago","used in last day","used in last day","used in last day","used in last decade","used in last day","Yes"
"train_0476","18-24","female","Left school at 18 years","Australia","Mixed-Black/Asian",26.3,62.3,70.2,36.8,44.1,33.8,54,"used in last year","never used","used in last year","used in last month","used in last month","used in last month","never used","No"
"train_0477","18-24","female","University degree","Australia","Mixed-Black/Asian",53.4,35.5,70.2,22.2,60.9,42.8,38.8,"used in last day","used in last year","used in last week","used in last day","used in last month","used in last year","used in last year","No"
"train_0478","55-64","male","Left school at 18 years","UK","Mixed-Black/Asian",44.5,43.3,27.8,63.6,60.9,21.5,13.2,"never used","never used","used in last week","never used","never used","never used","used in last week","No"
"train_0479","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",46.2,52.6,52.7,47.8,35.4,70.5,71.1,"used in last week","never used","used in last day","used in last month","used in last day","used in last year","used in last month","No"
"train_0480","35-44","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",62.3,27,39.3,47.8,33.6,63,54,"used in last month","used in last decade","used in last day","used in last year","used in last day","used over a decade ago","used over a decade ago","No"
"train_0481","45-54","male","Left school at 16 years","Other","Mixed-Black/Asian",42.8,57.3,25.8,47.8,63.6,21.5,30.8,"used in last month","never used","used in last day","used over a decade ago","used in last week","never used","used in last day","No"
"train_0482","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",49.2,67,43.6,41.2,38.7,63,54,"used in last week","never used","used in last day","used in last month","used in last week","never used","never used","No"
"train_0483","35-44","female","Professional certificate/ diploma","New Zealand","Mixed-Black/Asian",33.7,67,62.5,49.8,51.8,33.8,62,"used in last month","never used","used in last decade","used in last month","used in last day","used in last week","used in last decade","No"
"train_0484","18-24","female","Masters degree","Australia","Mixed-Black/Asian",54.7,74.2,55.3,26.6,35.4,56.5,62,"used in last week","used in last month","used in last day","used in last week","used in last day","never used","used in last day","Yes"
"train_0485","18-24","male","Professional certificate/ diploma","USA","Mixed-White/Black",52,50.1,50.1,54.2,76.1,63,62,"used in last day","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0486","25-34","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",37.7,50.1,64.7,51.9,40.6,63,54,"used in last year","used in last decade","used in last day","used in last day","used in last day","used in last year","used in last day","No"
"train_0487","35-44","female","Masters degree","USA","Mixed-Black/Asian",41.3,64.7,67.3,82.2,76.1,42.8,62,"used in last week","used over a decade ago","used in last month","used over a decade ago","used in last day","used over a decade ago","used over a decade ago","No"
"train_0488","25-34","female","Doctorate degree","New Zealand","Mixed-Black/Asian",28.4,47.6,64.7,22.2,53.7,50.4,82.6,"used in last week","used in last decade","used in last day","used in last week","used in last year","never used","used over a decade ago","Yes"
"train_0489","65+","female","Masters degree","Australia","Mixed-Black/Asian",18.5,50.1,62.5,61,60.9,56.5,38.8,"used over a decade ago","never used","used over a decade ago","used over a decade ago","used over a decade ago","never used","used over a decade ago","No"
"train_0490","25-34","male","University degree","USA","Mixed-Black/Asian",41.3,95.9,64.7,63.6,73.5,56.5,62,"used in last day","used in last decade","used in last day","used in last year","used in last week","never used","used in last week","No"
"train_0491","55-64","female","Left school at 18 years","USA","Mixed-Black/Asian",52,37.7,37.2,58.5,53.7,21.5,22.4,"used in last day","never used","used in last day","never used","used in last week","never used","used in last day","No"
"train_0492","45-54","female","University degree","USA","Mixed-Black/Asian",44.5,74.2,76.3,70.9,68.9,42.8,46.6,"used in last month","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0493","65+","female","University degree","USA","Mixed-Black/Asian",23.7,47.6,43.6,85.5,56,21.5,0,"never used","never used","used in last day","never used","used in last month","never used","used in last day","No"
"train_0494","18-24","female","Some college or university, no certificate or degree","New Zealand","Mixed-Black/Asian",31.7,45.4,67.3,66.1,35.4,33.8,46.6,"used in last week","used in last decade","used in last day","used in last day","used in last week","used in last year","used in last day","No"
"train_0495","45-54","female","University degree","USA","Mixed-Black/Asian",49.2,39.4,60.2,61,30,50.4,46.6,"used over a decade ago","used over a decade ago","used in last day","used over a decade ago","used in last week","used over a decade ago","used over a decade ago","No"
"train_0496","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",35.8,57.3,70.2,76.2,68.9,42.8,82.6,"used in last day","never used","used in last month","used in last day","used in last day","used in last week","used in last year","No"
